seccion,domicilio,DireccionCompleta,location,lat,lon
389,"avenida real san agustín, número 100, colonia san agustín campestre, san pedro garza garcía, código postal 66270, san pedro garza garcía, nuevo león.","avenida real san agustín, número 100, colonia san agustín campestre, san pedro garza garcía, código postal 66270, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. Real San Agustin 100, Las Querenzas, 66270 San Pedro Garza García, N.L., Mexico",25.6356368,-100.3366062
390,"avenida batallón de san patricio, número 110, colonia residencial san agustín, san pedro garza garcía, código postal 66260, san pedro garza garcía, nuevo león.","avenida batallón de san patricio, número 110, colonia residencial san agustín, san pedro garza garcía, código postal 66260, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. Batallón de San Patricio 110, Residencial San Agustín 1er Sector, 66260 San Pedro Garza García, N.L., Mexico",25.6478517,-100.3372606
391,"calle montes himalaya, sin número, residencial san agustín, san pedro garza garcía, código postal 66260, san pedro garza garcía, nuevo león.","calle montes himalaya, sin número, residencial san agustín, san pedro garza garcía, código postal 66260, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Montes Himalaya, Residencial San Agustín 2o Sector, 66260 San Pedro Garza García, N.L., Mexico",25.6511608,-100.3429007
392,"calle río pantepec, sin número, colonia valle de santa engracia, san pedro garza garcía, código postal 66260, san pedro garza garcía, nuevo león.","calle río pantepec, sin número, colonia valle de santa engracia, san pedro garza garcía, código postal 66260, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Río Pantepec, Santa Engracia, 66260 San Pedro Garza García, N.L., Mexico",25.6598565,-100.3489072
393,"calle río pánuco, número 449, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle río pánuco, número 449, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Río Pánuco 449, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",25.6594323,-100.3564584
394,"calle vía corso poniente, sin número, colonia fuentes del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle vía corso poniente, sin número, colonia fuentes del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Vía Corso Pte., Del Valle, 66224 San Pedro Garza García, N.L., Mexico",25.6631747,-100.3620346
395,"calle río moctezuma, sin número, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle río moctezuma, sin número, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Río Moctezuma, Fuentes del Valle, 66220 San Pedro Garza García, N.L., Mexico",25.6571888,-100.362576
396,"avenida gómez morín, número 410, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","avenida gómez morín, número 410, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. Manuel Gómez Morín 410, Del Valle, 66220 Monterrey, N.L., Mexico",25.6559391,-100.357254
397,"avenida la sierra, número 12, colonia sierra madre, san pedro garza garcía, código postal 66250, san pedro garza garcía, nuevo león.","avenida la sierra, número 12, colonia sierra madre, san pedro garza garcía, código postal 66250, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","La Sierra 12, Privada Sierra Madre, 66250 San Pedro Garza García, N.L., Mexico",25.6493296,-100.364611
398,"calle bosques del olivo, sin número, colonia bosques del valle segundo sector, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle bosques del olivo, sin número, colonia bosques del valle segundo sector, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Bosques del Olivo, San Pedro Garza García, N.L., Mexico",25.6462111,-100.3769912
399,"calle río balsas, número 120 sur, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","calle río balsas, número 120 sur, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Río Balsas 120, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",25.6575069,-100.374983
400,"avenida josé vasconcelos, número 445, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león.","avenida josé vasconcelos, número 445, colonia del valle, san pedro garza garcía, código postal 66220, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. José Vasconcelos 445, Del Valle, 66220 San Pedro Garza García, N.L., Mexico",25.6542369,-100.3815183
401,"calle emilio carranza, sin número, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","calle emilio carranza, sin número, colonia centro, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Emilio Carranza, San Pedro Garza García, N.L., Mexico",25.6565374,-100.4021203
402,"calle san felipe de jesús, sin número, colonia la cima, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león.","calle san felipe de jesús, sin número, colonia la cima, san pedro garza garcía, código postal 66230, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Colonia La Cima Park, Las Codornices, La Cima 1er Sector, 66230 San Pedro Garza García, N.L., Mexico",25.649568,-100.4002717
403,"calle hermenegildo galeana, sin número, colonia palo blanco, san pedro garza garcía, código postal 66236, san pedro garza garcía, nuevo león.","calle hermenegildo galeana, sin número, colonia palo blanco, san pedro garza garcía, código postal 66236, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Hermenegildo Galeana, Palo Blanco Sector El Eden, 66236 San Pedro Garza García, N.L., Mexico",25.6579196,-100.395423
404,"calle hermenegildo galeana, sin número, colonia palo blanco, san pedro garza garcía, código postal 66236, san pedro garza garcía, nuevo león.","calle hermenegildo galeana, sin número, colonia palo blanco, san pedro garza garcía, código postal 66236, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Hermenegildo Galeana, Palo Blanco Sector El Eden, 66236 San Pedro Garza García, N.L., Mexico",25.6579196,-100.395423
405,"calzada del rosario, número 99, colonia hacienda el rosario, san pedro garza garcía, código postal 66247, san pedro garza garcía, nuevo león.","calzada del rosario, número 99, colonia hacienda el rosario, san pedro garza garcía, código postal 66247, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Calz. del Rosario 99, Hacienda El Rosario, 66247 San Pedro Garza García, N.L., Mexico",25.6551753,-100.3860867
406,"avenida josé vasconcelos, número 2214 oriente, colonia tampiquito, san pedro garza garcía, código postal 66240, san pedro garza garcía, nuevo león.","avenida josé vasconcelos, número 2214 oriente, colonia tampiquito, san pedro garza garcía, código postal 66240, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. José Vasconcelos 2214, Barrio Tampiquito, Tampiquito, 66240 San Pedro Garza García, N.L., Mexico",25.6540453,-100.3830757
407,"calle plutarco elías calles, número 419, colonia tampiquito, san pedro garza garcía, código postal 66240, san pedro garza garcía, nuevo león.","calle plutarco elías calles, número 419, colonia tampiquito, san pedro garza garcía, código postal 66240, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Plutarco Elías Calles 419, Barrio Tampiquito, Tampiquito, 66244 San Pedro Garza García, N.L., Mexico",25.6507718,-100.3829363
409,"avenida manuel gómez morín, número 1000 sur, colonia carrizalejo, san pedro garza garcía, código postal 66254, san pedro garza garcía, nuevo león.","avenida manuel gómez morín, número 1000 sur, colonia carrizalejo, san pedro garza garcía, código postal 66254, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Av. Manuel Gómez Morín 1000, Carrizalejo, 66266 San Pedro Garza García, N.L., Mexico",25.6412351,-100.3627725
410,"calle sócrates, sin número, residencial chipinque tercer sector, san pedro garza garcía, código postal 66297, san pedro garza garcía, nuevo león.","calle sócrates, sin número, residencial chipinque tercer sector, san pedro garza garcía, código postal 66297, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Sócrates, Residencial Chipinque 1er Sector, 66297 San Pedro Garza García, N.L., Mexico",25.6339599,-100.3617911
413,"privada herradura, sin número, colonia lomas del valle, san pedro garza garcía, código postal 66256, san pedro garza garcía, nuevo león.","privada herradura, sin número, colonia lomas del valle, san pedro garza garcía, código postal 66256, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Privada Herradura, 66244 San Pedro Garza García, N.L., Mexico",25.6473541,-100.382875
416,"calle perseverancia, número 100, colonia balcones del valle, san pedro garza garcía, código postal 66288, san pedro garza garcía, nuevo león.","calle perseverancia, número 100, colonia balcones del valle, san pedro garza garcía, código postal 66288, san pedro garza garcía, nuevo león., San Pedro Garza García, Nuevo León, México","Balcones del Valle, San Pedro Garza García, N.L., Mexico",25.6372467,-100.382777
